"CONTEXT","INFERENCE","LABEL","CONTEXT_FROM","INFERENCE_FROM"
"a man grabs his crotch during a political demonstration .","The crotch is scratched .","3","snli","joci"
"Rena owns way too many objects","She walked around her home putting items into 10 different trash bags.","3","roc","roc"
"A couple is taking a break from bicycling .","The bicycling is a cycling .","4","snli","joci"
"I folded the paper.","The paper creased.","5","copa","copa"
"Four teenage boys are doing cannonballs into a swimming pool .","The cannonballs are a projectile .","2","snli","joci"
"A man reads a placard on top of a monitor.","a man is reading .","5","snli","seq2seq"
"the young children are petting a piglet","The siblings are petting their pet pig.","3","snli","snli"
"Ness wanted to throw a surprise party for her sister","She passed out invitations the week before.","4","roc","roc"
"Jojo wanted to go to the top of the sears tower","But, he lived in Malaysia.","2","roc","roc"
"A man wearing a dark suit looks down as another person dressed in black and white does the same .","The suit is a garment .","5","snli","joci"
"Blond woman icing cupcakes at a cupcake sales table.","A blond woman with red and yellow cupcakes.","3","snli","snli"
"Edna smoked a pack of cigarettes every day","Then she discovered she was expecting her first child!","5","roc","roc"
"Men and women are dancing beside a brick archway.","Monkeys are dancing beside a brick archway.","2","snli","snli"
"Sal works in a pizzeria","Yesterday, he worked all day.","4","roc","roc"
"Amy checked out 3 books from the library","Her mother had a hard time getting her to go to school.","2","roc","roc"
"The woman pressed down on the piano key.","A sound played.","5","copa","copa"
"Larry always wanted better versions of existing products he had","But he was never happy because there would never be a definite version","3","roc","roc"
"May has an irrational fear of clowns","Jessie decided to prank May by capitalizing on this fear.","3","roc","roc"
"The collie is standing outdoors on a sandy area .","A person walks the collie .","4","snli","joci"
"Two men practicing MMA submission holds","Two men practice wrestling.","5","snli","snli"
"a loan motorcyclist riding a red motorcycle on a racetrack","The loan is a debt .","5","snli","joci"
"Small dog seeks comfort from his owner in this shopping scene.","A toy poodle is with their owner","3","snli","snli"
"Pedestrians cross a street walking an avenue past a restaurants , one pulling a wheeled basket and several others wearing purses .","The purses are a bag .","5","snli","joci"
"I wanted to learn statistics","The statistics have a margin .","3","roc","joci"
"Three children play together and act like celebrities with their props.","Three kids are playing ball with six other kids.","2","snli","snli"
"Girl in red jacket ponders while sitting in an art museum with cubes on the floor .","A story is told through the cubes .","3","snli","joci"
"May has an irrational fear of clowns","The fear is an anxiety .","5","roc","joci"
"A man in jeans and a black tee is totally reclined , resting on the seat of his motorbike .","The motorbike is a motorcycle .","5","snli","joci"
"I can play the lane perfect","The mid lane always has to back before I do.","0","roc","roc"
"A sportswoman is raising her arm to answer a question.","Nobody is raising an arm","3","snli","snli"
"Sally was emptying out the cat litter","Her cat started to claw at her.","3","roc","roc"
"A girl in jeans and a black shirt pours liquid into a 2 liter bottle using a funnel .","The funnel is a utensil .","4","snli","joci"
"The girl desired her parent's approval.","She ran away from home.","3","copa","copa"
"A man sitting down at a bus stop with a Calvin Klein ad behind him.","A man is sleeping.","2","snli","snli"
"Three men at the beach drink beer and use a metal detector.","the men are looking for metal","5","snli","snli"
"One young boy is holding a plastic sward with another young boy is holding a stick outside.","The boys are empty handed.","3","snli","snli"
"Two young children, one in striped top, running down pathway surrounded by ferns.","Two children are watching television.","1","snli","snli"
"Rose got an inflated ball to use for exercise","She balanced precariously on the ball and wondered if it was working.","3","roc","roc"
"I pulled the rubber band.","It stretched.","5","copa","copa"
"A man came to the local TV station with an odd request","The producer agreed if he paid him $5,000.","3","roc","roc"
"Gina 's door handle had fallen off and locked her in her room","Finally she tried a Barbie doll leg.","2","roc","roc"
"A young boy wearing over-sized blue tank top and shorts, and a red and blue cap, is looking through the viewfinder on a camera placed on a tripod.","A small child is preparing to take a photo.","5","snli","snli"
"The woman became famous.","Photographers followed her.","4","copa","copa"
"A strong person wearing a pink sweatband is hammering metal .","A person wears the sweatband .","5","snli","joci"
"An elderly lady sits among a bounty of food sipping a refreshing beverage while a large straw hat protects her from the sun's rays.","An elderly woman sits outside at a barbeque on the beach.","3","snli","snli"
"A woman in blue flats is holding a man's hand.","A woman in blue flats is holding a man&apos;s hand walking together.","3","snli","snli"
"Jewish rabbi and young boy reading in a church","The rabbi explains the holy text to the young believer.","4","snli","snli"
"Kim had a favorite pair of pink argyle socks","She only wore them on special days at work.","3","roc","roc"
"Russ drove to the store to buy some food","He saw an open space and pulled right in.","5","roc","roc"
"A player slides in to home as the catcher attempts to stop him and the umpire closely watches .","The umpire is an official .","5","snli","joci"
"Bicycle sportsman leaps bike in the air on a camping trail.","The sportsman does bike tricks.","5","snli","snli"
"The woman was staring at me.","I hugged her.","3","copa","copa"
"A cute child is sitting on the rocks in a yellow frock.","A person is sitting.","5","snli","snli"
"Nancy had a problem with her bad breath","Her friends told her it was very offensive.","4","roc","roc"
"Asian person holding a white porcelain Asian figurine of a woman holding a fan.","A person in blue is holding a figurine.","3","snli","snli"
"An African family stands in the middle of a group of hay huts with plastic overlays.","the family is large","3","snli","snli"
"Asian person holding a white porcelain Asian figurine of a woman holding a fan.","A person is holding a figurine.","5","snli","snli"
"While shielding their eyes, patient onlookers await the arrival of the solar eclipse.","Many people stare at the sky with binoculars.","1","snli","snli"
"A box is in front of a likeness of a wizard on the street.","there is a person playing an instrument .","3","snli","seq2seq"
"Amy and her mother were at her Aunt 's graduation","Her mother let her hold the Polaroid pictures.","3","roc","roc"
"A person wearing a helmet and pads is riding a dirt bike and jumping over a log .","The pads are a padding .","5","snli","joci"
"Steve went to his kitchen to get a cold glass of water","A person runs to the kitchen .","3","roc","joci"
"People play beer pong.","A group playing a college game.","5","snli","snli"
"The man confessed his love for the woman.","The woman rejected him.","3","copa","copa"
"The boy's forehead felt hot.","His mother took him to the park.","2","copa","copa"
"One young girl is braiding colored cord into another girls hair .","A pin is attached to the cord .","3","snli","joci"
"A man holding a baby and an older child admire a birthday cake with candles.","A baby celebrates his birthday with his family.","3","snli","snli"
"A broad way show at its finale .","The finale is a conclusion .","5","snli","joci"
"The woman in the tan suit is speaking at the pedestal.","A woman wears a tan suit.","5","snli","snli"
"Jimmy needed to get a new lamp","He had broken his old one by accident.","3","roc","roc"
"The prisoner starved.","He died.","5","copa","copa"
"The woman felt lonely.","She adopted a cat.","4","copa","copa"
"a sign telling you to accept jesus as your savior.","There is a religious sign in front of the church.","3","snli","snli"
"A woman and her saint bernard dog sitting on a bench in the park on a sunny day","A woman is sitting in a hospital waiting room with her dog.","1","snli","snli"
"Some colorful riflemen are walking in a parade.","Men are walking together at an event.","5","snli","snli"
"A lady dressed in a beautiful pink, jewel encrusted outfit and makeup standing next to two children.","There is a lady dressed in a beautiful pink outfit.","5","snli","snli"
"A man on a horse swings a lasso.","A man is singing a rope while riding a horse","0","snli","snli"
"Sally found a little mouse in a field one day","A country turns into the field .","1","roc","joci"
"Two young girls wrapped in holiday garland pose for the camera.","Two girls are sleeping.","1","snli","snli"
"Man with blue shirt is doing a grind with a skateboard.","man practices new trick","3","snli","snli"
"A man swings his tennis racquet as the tennis ball gets closer to him .","The racquet is a sports implement .","5","snli","joci"
"Erin loved doing makeup so much she wanted to make it her career","Finally she made the jump and opened her own makeup shop.","3","roc","roc"
"the alleyway of an urban city, the citizens going about their day.","View of an alley.","3","snli","snli"
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""","People are talking while holding a banner.","3","snli","snli"
"The woman complimented the man.","He sneezed.","3","copa","copa"
"People watching air jets in a big event.","people are watching a show .","5","snli","seq2seq"
"The woman was interrupted in the midst of reading her book.","She reread the book.","3","copa","copa"
"Children playing in public waterspouts.","The children are playing with water.","5","snli","snli"
"A cop was on his night shift","A person works as the cop .","5","roc","joci"
"Lindsay decided she needed to make a life change and lose weight","For 9 months Lindsay ate better and exercised more.","4","roc","roc"
"A person in a purple jacket is squatting around several moose.","a person is squatting","5","snli","snli"
"A man carrying steel beams across a lumberyard.","A man is doing an office job.","1","snli","snli"
"Todd and Toby were identical twins of age 10","They were so alike that their mother could not tell them apart.","4","roc","roc"
"An older food vendor , in a white embroidered shirt , maroon vest and checked apron , is sitting , leaning forward , with her elbows on her knees and her hands clasped , behind her foodstuffs .","The foodstuffs are a food .","5","snli","joci"
"An old customer waits for his food from a vendor .","The customer is a consumer .","5","snli","joci"
"Two men share their love of motorcycles.","Two men are looking in opposite directions because they have nothing in common.","1","snli","snli"
"A male doctor takes measure of a woman's blood pressure.","a male is learning on his computer .","2","snli","seq2seq"
"The man in the black sweater is standing next to a green bird in a birdcage .","The birdcage is a cage .","5","snli","joci"
"Larry was addicted to smoking","His wife always wanted him to quit.","3","roc","roc"
"The girl wanted to make her mother happy.","The girl ate the cookies her mother baked.","3","copa","copa"
"Two men in life jackets, in a rubber raft powered by an engine, are traveling at high speed on the water with wind turbines on the distant shore.","These two men are pilots flying a large commercial plane.","1","snli","snli"
"A soldier using binoculars in a desert .","The binoculars are an optical instrument .","5","snli","joci"
"A shepherd counted his flock one evening","He checked the brands, to see to whom the new sheep belonged.","2","roc","roc"
"A boy and his pet toad just hanging out .","The toad jumps .","4","snli","joci"
"Zach bought a piece of pie from the farm stand","He opened the container and noticed some mold on the pie.","3","roc","roc"
"A peephole looking through at a man in a blue jumpsuit working","A person is watching the cop through a peephole waiting for him to leave.","2","snli","snli"
"The nurse prepared the needle for the patient's injection.","The patient bled.","3","copa","copa"
"A man and a woman stand in front of a Christmas tree contemplating a single thought .","The thought is higher cognitive process .","4","snli","joci"
"Cal picked up his briefcase and it fell open","All of his papers spilled out on to the floor.","5","roc","roc"
"Francis had given up on finding a lover","He decided that at his old age it was impossible to meet anyone.","3","roc","roc"
"Ava had a miscarriage","She had to be hospitalized.","4","roc","roc"
"A man in a yellow shirt is standing in the sidewalk measuring.","a man is standing in the sidewalk","5","snli","snli"
"A person having a conversation with another, as a computer task awaits his return.","A person having a conversation with another, as a puppy awaits his return.","2","snli","snli"
"A farmer fertilizing his garden with manure with a horse and wagon.","The man is on the city street with his horse and wagon.","1","snli","snli"
"Jonathan got married to his high school sweetheart","I saw the two of them at the post office today.","4","roc","roc"
"A wet dog is shaking off water .","The water is a binary compound .","5","snli","joci"
"A man is sitting on a motocross bike pointing his finger forwards.","a man can point","5","snli","snli"
"People walking though an architectural design .","The design is a creativity .","3","snli","joci"
"The mother is in the kitchen cleaning, she has her cleaning clothes on.","A woman is in the kitchen","5","snli","snli"
"Ruth was working on a school project","She had finished all of her work and was presenting the project today.","3","roc","roc"
"a horse driven carriage running through a rainstorm .","The rainstorm causes losses .","3","snli","joci"
"A young boy releases two doves into the air inside his bedroom .","The doves are a pigeon .","4","snli","joci"
"A blond toddler tastes cake batter off of a mixer .","The batter is a ballplayer .","5","snli","joci"
"Today I tried to make a new cookie recipe","The recipe was given to me by my grandmother.","3","roc","roc"
"A young boy in a blue fleece walk on a path toward a bridge.","A young boy is walking in the woods.","3","snli","snli"
"The man went into denial about the tragedy.","He refused to talk about it.","4","copa","copa"
"A man is riding a horse with a many colored bridle .","The bridle is a headgear .","5","snli","joci"
"Tina had never tried wine before","The wine is an alcohol .","5","roc","joci"
"A woman stands outside near an elaborate chalk illustration .","A person sets the illustration .","3","snli","joci"
"The students sitting on the grass are eating a lunch from a red backpack .","The lunch is a meal .","5","snli","joci"
"A young child sits in a highchair and draws colorful squiggles on a white piece of paper.","A child is drawing a picture while waiting for her mother.","3","snli","snli"
"Athletes push through the snow during a crosscountry skiing trial.","THERE ARE ATHLETES IN THE SNOW","5","snli","snli"
"A painter is sitting at a street corner and has completed the majority of a painting of the Cafe across the street from himself.","A painter is doing a homework assignment for his painting class.","3","snli","snli"
"students studying at the pavilion restaurant in their campus getting ready for exams .","A person passes the exams .","3","snli","joci"
"Sherry adored her husband Henry and - they 'd been married for Years","The Years are a time period .","5","roc","joci"
"Beautiful woman in black doing a low twist like a 1980's breakdancer.","The women are sitting still.","1","snli","snli"
"A man holds a red shirt with a white star and crescent out of a car window .","The star is a performer .","5","snli","joci"
"A man in a blue and white shirt shows concern for a girl in a suv .","The concern is misplaced .","2","snli","joci"
"A young man wearing all great is filling a cooler up with an assortment of foods .","A person moves the assortment .","3","snli","joci"
"A man hunts for treasure on the beach using his metal detector.","A man is swimming in his pool","2","snli","snli"
"5 year old Tammy still loved carrying her baby blanket","One night, Tammy heard her little brother David crying.","3","roc","roc"
"Steve went to his kitchen to get a cold glass of water","There weren't any ice cubes in his freezer so he began to make some.","3","roc","roc"
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .","Police defuse the launcher .","2","snli","joci"
"Young gymnast holding onto a horizontal poll , with someone else holding her left arm .","The poll is an inquiry .","4","snli","joci"
"Amy and Kim were jumping on the trampoline in Kim 's yard","Kim dared Amy to jump higher, and higher.","3","roc","roc"
"A super car is spinning tires on a raceway track creating smoke near a crowd .","The smoke drifts over a center .","3","snli","joci"
"Bob always thought he was the best basketball player in town","The game started off with both players equal.","4","roc","roc"
"A group of men and boys are paddling a boat with cattle grazing in the background .","The grazing is an eating .","5","snli","joci"
"a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony.","A child is riding a horse.","4","snli","snli"
"A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.","A woman in a restaurant kitchen.","5","snli","snli"
"Workers erect a pavilion for an event in the park .","The pavilion starts a report .","1","snli","joci"
"Shaye trained for months to run her first marathon","It was tedious and often grueling training.","4","roc","roc"
"A chef in a red apron and white hat is carving meat from a spit.","A person prepares meat with a knife.","5","snli","snli"
"The couple got engaged.","They took some time apart.","2","copa","copa"
"The police officer dropped the gun.","The gun went off.","3","copa","copa"
"A brown skinny dog is jumping over a tuft of grass on a dirt pathway.","An animal is leaping while outdoors.","5","snli","snli"
"A woman wearing a brown scarf and sunglasses, walks through a shopping outlet.","The woman is in her car.","1","snli","snli"
"A bear-chested jungle native , with long hair , wearing a cloth bottom garment , is dangling in the air from a chute .","The native is an organism .","4","snli","joci"
"A tarp wrapped around a tree and a watering can.","Weedkiller is being used on the lawn.","2","snli","snli"
"A girl in red short and a white T-shirt underground looking out of a hole .","The underground is a revolutionary group .","3","snli","joci"
"Jill 's grandma left her a beautiful necklace","One day, Jill wore the necklace to a party.","3","roc","roc"
"A man walking the city streets looking at a large wok of food with noodles and peppers .","The peppers are a true pepper .","4","snli","joci"
"The puppy had a frisbee","The frisbee is thrown .","4","roc","joci"
"A man sprays a cement truck with a hose at a curbside as a man walks by .","The hose is a tube .","5","snli","joci"
"A woman raises her arms in triumph after knocking down a pin in a bowling alley .","A person is disappointed with the triumph .","3","snli","joci"
"Joe decided he was gaining too much weight","He was flustered because everyone at the gym was fit.","3","roc","roc"
"A brunette female in her early twenties wearing modern , rectangular glasses with black rims , points at some faintly visible scribbling on what looks like either a dry-erase board or a museum display of children 's scribbles .","The scribbles are a handwriting .","5","snli","joci"
"The crowd gave the band a standing ovation.","The band reappeared on the stage.","4","copa","copa"
"My father took my to the national history museum","There was an exhibit on butterflies.","3","roc","roc"
"My wife bought me a cider making kit in 2009","It had a container, bottles, and a cider mix.","4","roc","roc"
"Rob 's dog found a porcupine","His dog ended up with a face full of quills.","4","roc","roc"
"A man drinking a beer, is trying to remove a possum from a bar with a broom.","There is a man in a building.","5","snli","snli"
"I bought my girlfriend chocolates for valentine 's day","The store said I can't return them.","3","roc","roc"
"A man standing at a urinal with a coffee cup.","A man brought his beverage to the bathroom.","5","snli","snli"
"An ashtray sits next to a chessboard .","A box sits untouched next to the ashtray .","3","snli","joci"
"A person ski jumps off an A frame shack.","The skier the roof as a ski jump.","3","snli","snli"
"I got to work early to bake the scones and prepare the tea sandwiches","I helped my staff set the tables with our finest china tea cups.","3","roc","roc"
"Alice wanted to make a cake for her birthday","A person grows the cake .","1","roc","joci"
"Bizarre live art exhibit with goddess type woman, man strapped to dolly, and hairy man in suit.","People are performing in a live art exhibit.","5","snli","snli"
"two women and two men are posing for a self held camera photograph.","there is a camouflaged and white baseball .","2","snli","seq2seq"
"A police officer walking by a large beauty advert .","The officer is charged .","2","snli","joci"
"Tom was accidentally shot by his teammate in the army","He was angry so he beat the shooter up.","5","roc","roc"
"A man is pouring grain from a sifter onto a very colorful blanket.","The blanket is a solid color.","1","snli","snli"
"Kimmy had a huge mirror in her bathroom","She was very superstitious.","2","roc","roc"
"Charles was running behind schedule","But he couldn't find his car keys.","3","roc","roc"
"A black and yellow bird is eating a worm while resting on the grassy ground .","The worm is convenient .","3","snli","joci"
"Being exposed to hot sun like this can cause skin cancer .","The exposed is an exposure .","5","snli","joci"
"Two young male tourists walking towards a temple .","A person visits the temple .","5","snli","joci"
"The win was a close tie but the Red team won .","The win ends a streak .","3","snli","joci"
"A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.","An American and an Hispanic worked at the clothing store.","2","snli","snli"
"A grocery store checkout where a checker is counting out change.","The people are outside playing volleyball.","1","snli","snli"
"A woman is lying on her stomach on a white pillow and crying .","A person is shot in the stomach .","2","snli","joci"
"A young boy and girl wearing coats, hats, and boots are at the beach looking at something that they found.","the children are looking at something .","5","snli","seq2seq"
"June hated eggs","She they were a good source of protein though.","0","roc","roc"
"Nala was trying to lose weight","She gauged her progress by her favorite belt.","3","roc","roc"
"Woman with yellow button up shirt and jeans is making beautiful pottery etchings into one of her works of art.","The woman is an artist.","5","snli","snli"
"The baby gurgled and kicked her feet","A slow yawn escaped her lips as she played with her teddybear.","5","roc","roc"
"Alex wanted to start living a fit lifestyle","A person embraces the lifestyle .","4","roc","joci"
"The man extended his hand to me.","I shook his hand.","5","copa","copa"
"I held the door for the woman entering behind me.","The woman thanked me.","4","copa","copa"
"Someone is hang gliding or parachuting down by a large body of water with green hills all around.","A person building a small wooden shack at the edge of the woods.","2","snli","snli"
"My son was a little overweight","One day he said he wanted to play Basketball.","3","roc","roc"
"Lucy was bored watching TV with her grandpa","He wanted her to stay and watch TV with him.","4","roc","roc"
"A woman in a yellow hat and yellow shirt holding her hand out like a claw.","The woman&apos;s hands are at her side.","1","snli","snli"
"Young boy getting into a box of trivial pursuit.","Young girl getting into a box of trivial pursuit.","1","snli","snli"
"Jan wanted to make a peanut butter and jelly sandwich","She took out the peanut butter, jelly, and bread.","5","roc","roc"
"The girl in plaid is helping the little girl feed an apple to a horse.","The girl is helping someone.","5","snli","snli"
"George read that a farmer 's market would be nearby on the weekend","He decided to buy a variety of everything available.","3","roc","roc"
"A man holding a baby and an older child admire a birthday cake with candles.","Three ladies bake a birthday cake.","2","snli","snli"
"The vase broke.","I glued it back together.","3","copa","copa"
"Keely and her friends decided to go orange picking","The girls always had fun with that.","4","roc","roc"
"Cody wanted to make the world a better place and give blood","She didn't like the juice and cookies they tried to give her.","3","roc","roc"
"The woman in the pink bikini and the man in the black swim trunks frolic in the ocean and get their picture taken while in midair .","The frolic is a diversion .","4","snli","joci"
"I slept through my alarm.","I made breakfast.","3","copa","copa"
"A furry black and white dog jumps over a bar during an agility test .","The test is a mental measurement .","4","snli","joci"
"Sal works in a pizzeria","The pizzeria is a shop .","5","roc","joci"
"Kenya met up with her ex-boyfriend at a coffee spot","He greeted her and asked how she was doing.","4","roc","roc"
"One young girl is braiding colored cord into another girls hair.","The boy braided the girls hair.","1","snli","snli"
"Vicki was scared of heights","The heights are a dimension .","5","roc","joci"
"John 's new day on the job was a bit daunting","He had an office in a top floor.","3","roc","roc"
"I got gum in my hair","It was a horrendous sticky mess.","5","roc","roc"
"An Asian man sits on a stoop polishing cookware.","a man is sitting on a motorized tractor .","2","snli","seq2seq"
"Kenya threw an egg on the pan","It began to fry from the melted butter.","3","roc","roc"
"A woman designer extolling the virtues of one of her paper lamps to a potential client.","A woman talks to a client.","3","snli","snli"
"Roller derby girl skating with intensity .","A person likes the intensity .","3","snli","joci"
"three young boys playing hear no evil, speak no evil, see no evil","The young boys are working on homework.","1","snli","snli"
"Patty had a fascination with the occult","Her parents warned her not to mess with that stuff.","3","roc","roc"
"Bob had round glasses","Bob decided to get new glasses.","3","roc","roc"
"A man reading and evaluating the nation's stocks.","A man reading stock quotes.","5","snli","snli"
"A man in a thick blue winter jacket shoveling snow in a winter blizzard.","A man in a jacket","5","snli","snli"
"A young woman wearing a yellow shirt and white shorts throws a boomerang in a brush environment .","The boomerang is a projectile .","5","snli","joci"
"A man with a black t-shirt on with adidas written across the front and a woman with a white t-shirt on and a silver bangle on her left wrist sitting next to their bike on the ground in the park eating ice cream while people enjoy themselves all around them","A person is glad to have the bangle .","3","snli","joci"
"The school principal implemented a dress code.","Students protested the decision.","4","copa","copa"
"A man mows the lawn at an orchard, careful to avoid the hedges and flowers on either side of him.","a man is getting ready to show off his new lawn","3","snli","snli"
"A big , red tractor , pulls a flatbed along a dirt road .","The flatbed stops at a station .","3","snli","joci"
"People enjoy relaxation and reading in this green and shady spot .","The relaxation is an easing .","5","snli","joci"
"A furry black and white dog jumps over a bar during an agility test.","During an agility test a furry dog jumps a bar.","5","snli","snli"
"Adam clasped his hands together and - looked at the assembled parents","The gunman had gotten past the guards and the metal detectors.","2","roc","roc"
"Sally found a little mouse in a field one day","The field is a knowledge domain .","1","roc","joci"
"Shane loved playing darts","He was good even though he only had one eye.","3","roc","roc"
"A child riding a bike in an area with an overview of a body of water.","A kid rides a bike with his mom.","3","snli","snli"
"The boy was locked out of his house.","He crawled in through an open window.","4","copa","copa"
"I bit into the peach.","Juice spilled out.","4","copa","copa"
"Russ drove to the store to buy some food","A person loves the food .","4","roc","joci"
"A man is photographing a Budweiser sprint car at a speedway smoking its tires.","A man is taking a picture of a car","5","snli","snli"
"The giant box containing my new reel mower had arrived","The mower is a garden tool .","5","roc","joci"
"A man and a woman can prepare meals at camp together .","The camp is a site .","4","snli","joci"
"Rick and his dad used to see wrestling matches together all the time","Then when Rick turned 40, his dad bought him a special birthday gift.","3","roc","roc"
"Someone grinding stones with a pestle .","The pestle is a hand tool .","5","snli","joci"
"A baby wearing a white sleeper is sleeping in a crib.","A man peeing outside.","1","snli","snli"
"Six kids , 4 in red and white uniforms , 2 in green and yellow , playing lacrosse .","The lacrosse is a field game .","5","snli","joci"
"People buying groceries after massive earthquakes had hit their hometown in recent weeks","People are restocking on their food after the earthquake.","5","snli","snli"
"A married man in a blue checked shirt is eating a red berry .","A person loves the berry .","3","snli","joci"
"With wide eyes she told me that the biopsy came back positive","With tears in my eyes I threw my arms around her for a hug.","3","roc","roc"
"A cat observing two little rabbits in a box of hay inside an wire enclosure, while a woman in a white sweater looks on.","The rabbits attacked the cat.","2","snli","snli"
"The little girl wearing pink is having fun bungee jumping .","A fuse is attached to the bungee .","2","snli","joci"
"The man is taking notes at the table .","A person receives the notes .","3","snli","joci"
"A person wearing sunglasses , a visor , and a British flag is carrying 6 Heineken bottles .","The visor is a brim .","5","snli","joci"
"A girl in a Burka is learning vocabulary in a classroom .","The vocabulary is limited .","3","snli","joci"
"Lab technicians are working on a project and teaching the new tech the procedures of the project.","A group of lab technicans interviewing a man at the beach.","1","snli","snli"
"A woman came out of the cafe with a box","She screamed at me because she thought I was a chauvinist.","3","roc","roc"
"Patty wanted my pencil","She asked to use it.","4","roc","roc"
"Men dressed in either theatrical or historical attire riding horses.","The men are riding horses.","5","snli","snli"
"Three women enjoying a balloon joyride.","Three women are on a balloon ride.","5","snli","snli"
"The police officer pulled over the celebrity.","The celebrity sued the police officer.","3","copa","copa"
"A brown dog is lying on a grassy field as the wind blows through his fur.","The dog is napping in my bed.","2","snli","snli"
"A young girl is lying on some personal belongings, on a cart that is dragged by a horse and a man, on a dirt route.","A woman driving a jeep.","1","snli","snli"
"A young boy wearing over-sized blue tank top and shorts, and a red and blue cap, is looking through the viewfinder on a camera placed on a tripod.","A young adult is watching tv.","2","snli","snli"
"A man is a construction outfit with a floor buffer is riding down an escalator .","The buffer is a power tool .","5","snli","joci"
"Claire and her husband Tom valued their privacy","Claire felt she needed to open her home to her sister.","3","roc","roc"
"The clouds looked dark.","I brought my umbrella to work.","4","copa","copa"
"The man's girlfriend broke up with him.","He begged her to take him back.","4","copa","copa"
"A man stands with his parrot while passersby look on amused .","The parrot is a bird .","5","snli","joci"
"A man sprinkles seasonings on his barbecue in front of foliage .","The seasonings are an ingredient .","5","snli","joci"
"A clergyman sits in an old-fashioned wooden confessional.","A person is sitting and praying.","3","snli","snli"
"A hurried bicycler moves along a car in a busy street on an allowed bike path .","The bicycler is killed .","3","snli","joci"
"A young boy talking on a cellphone laying next to a dog .","The dog is a canine .","5","snli","joci"
"People are in a room discussing around a computer printer.","people are in a room.","5","snli","snli"
"Mother tries some role reversal with her son in the kitchen .","The reversal is a reordering .","5","snli","joci"
"A young boy in swimming trunks holds a blue pail and a bright green shovel on a sandy beach .","The pail is a vessel .","5","snli","joci"
"A skateboarding soaring through the air in front of a blue building .","The skateboarding is a skating .","4","snli","joci"
"Ballerina performing as a girl rat in an open park .","The rat is an unpleasant person .","3","snli","joci"
"My cousin wrenched her shoulder in 1996","The cousin dies .","2","roc","joci"
"A group of young adults taking a break from boating.","A group of people are taking a break","5","snli","snli"
"Chris has always been disgusted that people eat raw oysters","His friends and family encouraged him to try eating raw oysters.","4","roc","roc"
"London was a planner by nature","She kept everything she would need for labor in her car.","3","roc","roc"
"a man walking in the graveyard .","Vandals desecrate the graveyard .","3","snli","joci"
"A man is describing stuff using chalk on a chalkboard.","The man is talking.","5","snli","snli"
"Nathan threw a quarter into a well","The well is poisoned .","2","roc","joci"
"The waitress came to our table with the bill","I told her what I would pay it, despite her offer.","2","roc","roc"
"Ellen has a garden in her backyard","A plane plunges into the backyard .","2","roc","joci"
"A person with a black knapsack and wearing a helmet is riding a blue scooter .","People are crammed into the knapsack .","1","snli","joci"
"Mike needed change to put air in his tire","The pump required four quarters.","3","roc","roc"
"Kim was driving home as a hurricane was coming","A person expects the hurricane .","5","roc","joci"
"Carlie and Destani went to the store buy a television","The two women chose the size they wanted then asked for help.","3","roc","roc"
"The travelers reached the border.","The patrol agent checked their passports.","5","copa","copa"
"Children playing in public waterspouts.","The children are jumping rope.","1","snli","snli"
"A man selling flower arrangements.","The man is selling flowers at a market.","3","snli","snli"
"Pom girls performing their choreography .","The choreography is altered .","3","snli","joci"
"A reporter and cameraman doing a report about a public show of some kind.","Two people are reporting a story.","2","snli","snli"
"A black man with cargo shorts and a striped orange shirt listening to music and dancing .","The music continues to pick up .","3","snli","joci"
"A woman and man walking down a street in an Asian locale.","A woman and a man are walking down a street to look for chinese food.","3","snli","snli"
"I had a stroke in 2011","I wanted to keep track of time.","3","roc","roc"
"People play with pyrotechnics.","People play with fireworks.","5","snli","snli"
"Ted bought a metal detector","The detector is crude .","3","roc","joci"
"A vendor and customer discussing products and pricing at a mall kiosk.","turkey flying","1","snli","snli"
"I went through rush in college","It was a stressful but fun time.","5","roc","roc"
"Two girls holding a box of possessions in a long underpass with cars in the background.","The boys were going throught the tunne.","1","snli","snli"
"A hockey player turns while staring off picture , large blue and yellow signs contrast the white ice and the player 's dark jersey .","The contrast is a visual perception .","4","snli","joci"
"Dan and his family were watching football","They bet the loser would clean up after the party.","3","roc","roc"
"Man dressed up in black and brown and holding a white light saber.","A man is holding a rifle.","1","snli","snli"
"A woman with curly brown hair and a blue skirt is reading a book with a purple cover on a concrete bench with other people around.","A woman is reading a book.","5","snli","snli"
"A man in a black shirt is playing percussion on a set of empty five gallon buckets .","A person feels the percussion .","4","snli","joci"
"Ness wanted to throw a surprise party for her sister","The ness is a land .","1","roc","joci"
"George read that a farmer 's market would be nearby on the weekend","He saw dozens of stands selling fresh fruit and vegetables.","4","roc","roc"
"A man reads a placard on top of a monitor.","A man naps with his head on his desk.","2","snli","snli"
"My father took my to the national history museum","The inside of the exhibit was warm and steamy.","3","roc","roc"
"Bill always wanted a green tractor","Every morning he asked his mom if he could get a green tractor.","4","roc","roc"
