"CONTEXT","INFERENCE","LABEL","CONTEXT_FROM","INFERENCE_FROM"
"Artists working on a mosaic on the ground.","men and women working on a mosaic","4","snli","snli"
"My breath smelled of garlic.","I wiped my mouth.","3","copa","copa"
"Political violence broke out in the nation.","Many citizens relocated to the capitol.","3","copa","copa"
"I put some thumbtacks outside my buddy 's door in the dorm","I knocked on the door.","4","roc","roc"
"A tanker truck making a delivery to a market .","The truck is a motor vehicle .","5","snli","joci"
"I hung the wet linen on the outdoor clothesline.","The linen stained.","3","copa","copa"
"Two secretaries are conversing at the front desk in a hotel.","the two people are indoors .","5","snli","seq2seq"
"Two men abroad enjoy talking about their differences .","The differences are a quality .","3","snli","joci"
"A man in a Tyrolean hat decorates a tan and white cow with ribbons and evergreen while a woman holds the cow's head.","A man and woman tends to a cow.","5","snli","snli"
"A white man in the shower has fashioned his hair into a mohawk hairstyle using soap suds .","The suds are a foam .","5","snli","joci"
"Jay was a firm believer that his car was faster than Joe 's","They agreed to race after school.","3","roc","roc"
"I put the flower under my nose.","The petals came off the flower.","3","copa","copa"
"Two women share gossip while waiting for a bus .","The gossip is a chat .","5","snli","joci"
"Kris called her credit card company","The company is an organization .","5","roc","joci"
"Police are setting up a barricade due to a fire .","The barricade is a barrier .","5","snli","joci"
"A man is working in a mine or cavern of some sort.","a man is working in a mine","5","snli","snli"
"Gina was upset her family had n't saved her breakfast","She decided to cook her own breakfast.","5","roc","roc"
"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli , Libya .","The no is a negative .","5","snli","joci"
"A soccer player who has just attempted a goal kick is burying his face in the field in frustration as the ball sits by the goal post and the goal keeper looks out towards the crowd and the rest of the field.","A man is playing soccer.","5","snli","snli"
"Ruggers are competing in a fierce game of rugby","Ruggers wearing rugby shirts are competing in a fierce game of rugby.","4","snli","snli"
"A woman in white, wearing a tiara, the beach in the background.","A woman is at the mall.","1","snli","snli"
"A man stands in front of an easel, on which is painted the young woman standing in front of the ocean with a parasol.","Nobody is standing","1","snli","snli"
"Chuck and Andy had plans to see a movie together","Andy bought both tickets online ahead of time to save time in line.","4","roc","roc"
"An Indian man , wearing his underclothes , pours water over himself .","The underclothes are an undergarment .","5","snli","joci"
"Cara finally took the training wheels off her bike","She was excited to finally ride the bike without them.","5","roc","roc"
"I clipped and painted my toenails","A person drives the toenails .","1","roc","joci"
"A young man wearing a white shirt and a yarmulke bows before an older man who wears a prayer shawl and yarmulke and holds the younger man 's head in his hands .","The prayer is a worship .","5","snli","joci"
"A military man says hello to a group of children waving American flags.","A military veteran says hello to a group of children waving flags in a parade.","3","snli","snli"
"Some girls like - Linda only - go on the internet to post pictures","The internet is a computer network .","5","roc","joci"
"The woman had an infection.","She took antibiotics.","5","copa","copa"
"People enjoy relaxation and reading in this green and shady spot.","the people are outside.","5","snli","snli"
"The men fortified the doors and windows against the onslaught","The liberals were coming for their chainsaws.","3","roc","roc"
"A man is smoking a cigarette and holding a honeycomb.","The man is concerned about his health.","3","snli","snli"
"At the rodeo, a patriotic cowboy and cowgirl prepare to ride with an american flag.","The cowboy and cowgirl are excited.","3","snli","snli"
"Kimmy had a huge mirror in her bathroom","She accidentally broke the mirror.","3","roc","roc"
"A vendor and customer discussing products and pricing at a mall kiosk.","vendor tries to make a sale","5","snli","snli"
"Our dinner reservations were for seven","We were not going to make it on time.","3","roc","roc"
"A man in a black shirt is cooking out of a cookbook in a cluttered kitchen.","man tries new recipe","4","snli","snli"
"A street market where goods of fruit and vegetables are being sold by three men, one wearing a long-sleeve white shirt and checked bottoms, the next wearing a yellow shirt with green checkered bottoms, and the last in red.","Men selling produce.","5","snli","snli"
"Dan noticed that his hair was started to develop dandruff","He was very embarrassed to have dandruff.","3","roc","roc"
"Sally found a little mouse in a field one day","The field is a land .","5","roc","joci"
"Although Jimmy did n't know how to play Scott - handed him the ball","The play is a plan of action .","4","roc","joci"
"Sam Bell had a headache when he woke up that morning","Sam got an idea.","3","roc","roc"
"An urban street corner features a white van and a bicycle rider to the left of a brown building which has a variety of objects on display in front of it .","The left is a turn .","3","snli","joci"
"A black man with cargo shorts and a striped orange shirt listening to music and dancing .","The music is a sound .","5","snli","joci"
"Gabe Nate - and Joe were brothers with a ton of energy","They happily went out into the warm summer sunshine.","3","roc","roc"
"Ella needed a foundation to cover her acne","She tried many shades, but none matched her skin.","3","roc","roc"
"Two older women working their spindles diligently.","Two babies are in a crib.","2","snli","snli"
"The curtain on the stage went up.","The actors in the play exited the stage.","3","copa","copa"
"A woman prepares ingredients for a bowl of soup .","A friend brings the ingredients .","3","snli","joci"
"Sharon needed a new driver 's license in another state","She had to turn over her old license but it was lost.","3","roc","roc"
"A sanitation worker in bright yellow safety garb hauls bins down a sidewalk.","The worker is collecting trash.","5","snli","snli"
"A young woman leads a group of French youth in a protest chant against Sarkozy","The woman studying by herself in her room.","1","snli","snli"
"Going to the bookstore was a spur of the moment decision","None of the books I was waiting on had come out yet.","3","roc","roc"
"Emma was in a bad car accident","The accident is a mishap .","5","roc","joci"
"Ziggy the dog will lick his paws until they are raw","The paws are an animal foot .","5","roc","joci"
"A bowler winding up for the toss.","The bowler is doing nothing.","2","snli","snli"
"Thad was used to being alone as single child in his household","A person grows up in the household .","5","roc","joci"
"Greyhound running on track with blue vest with a white numeral two.","A dog is racing.","5","snli","snli"
"Hillary and her husband went to a restaurant by the sea","A plane crashes into the sea .","2","roc","joci"
"A military man says hello to a group of children waving American flags .","The hello is a greeting .","5","snli","joci"
"John had an itch on his mid-back","No matter how hard he tried he couldn't reach the spot.","3","roc","roc"
"Stuart brought a rose to school to give to his crush Elizabeth -","They greeted each other in the hallway at school.","3","roc","roc"
"Lilly made a beautiful snow angel before going in for lunch","The angel is the government .","1","roc","joci"
"The traffic light turned yellow.","The driver pushed the brake.","3","copa","copa"
"Helicopter and boats doing training on an island.","Inexperienced people are learning how to use helicopters and boats.","3","snli","snli"
"An airline flight crew member stands by the steps to an airliner .","The airliner is an airplane .","5","snli","joci"
"I saw a penny lying there on the ground","After all, it could perhaps mean good luck.","3","roc","roc"
"A boy in a fuzzy goat holds a craw and looks at it.","A human holds a craw","5","snli","snli"
"Yesterday my husband and I went to Target","We bought a lot of random stuff.","3","roc","roc"
"Bill was tired of the hot weather in his area","The area is a region .","5","roc","joci"
"A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone.","A female that is nnot wearing makeup.","1","snli","snli"
"Martial arts students sit on the floor or stand in the background while watching a matchup between two people .","The matchup happens .","5","snli","joci"
"Train riders pass off a loop to one another as they pass .","The loop is a circuit .","5","snli","joci"
"The boy turned the lid on the jar.","The lid came off.","4","copa","copa"
"Tom ate mashed potatoes for dinner","The potatoes are a vine .","1","roc","joci"
"A man in a green shirt is singing karaoke while a young woman with long brownish hair stands by and listens .","The karaoke is damaged .","1","snli","joci"
"Tim borrowed a drill from his neighbor","The drill is the first in series .","3","roc","joci"
"The small girl is sitting in a harness , strapped to a tether , while others watch .","The harness are a stable gear .","5","snli","joci"
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off, perhaps for a block party, while onlookers walk behind and listeners are seated in front in lawn chairs.","a puppy barks at strange people","2","snli","snli"
"Matt was browsing an internet forum","His response started an argument that lasted for two hours.","3","roc","roc"
"A man wearing a gray shirt is taking clippings from a large plant.","The man is feeding his dog.","1","snli","snli"
"Several men wearing ethnic hats are watching the photographer in an outdoor market .","The market is a marketplace .","5","snli","joci"
"Two white males playing squash or something with a small ball and a each have a paddle .","The squash is a court game .","5","snli","joci"
"A man in a black hat& black shirt painting a slogan in the road for a possible event.","A man hangs a banner.","2","snli","snli"
"A handyman was called to fix a leak in the ceiling","He took out his ladder to get a better look at the situation.","4","roc","roc"
"Workers wearing hard hats and face masks process waste .","A person hates the waste .","4","snli","joci"
"A man in a white shirt has his mouth open and is adjusting dials .","The dials are an indicator .","4","snli","joci"
"A teenage boy and girl enjoying fondue.","A boy and girl are eating fondue.","5","snli","snli"
"Joe was writing up a lab report","He tried to freehand a circle chart but failed.","3","roc","roc"
"Lilly wanted to see pandas more than any other animal on her zoo trip","The pandas are a animal .","5","roc","joci"
"One day we heard that a moose had been spotted in our neighborhood","The moose was inside our fence and was just hanging out.","3","roc","roc"
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap , read T-shirt , and blue lightweight jacket .","The solicitor regains a leadership .","2","snli","joci"
"Shoppers and walkers add vibrancy to the street on this pleasant, warm day in the city.","People walking outside make the city more interesting.","5","snli","snli"
"A male basketball player is holding onto the rim of a basketball goal .","A ball rolls around the rim .","3","snli","joci"
"Ed has just got a milkshake from the server","An earthquake was occurring at that very moment.","2","roc","roc"
"Six people casting their ballot in an election .","The election is a choice .","4","snli","joci"
"Several uniformed people carrying firearms and wearing white gloves are lined up in ranks and standing at attention.","Several people are wearing light white gloves.","5","snli","snli"
"A woman wearing a red scarf, blue sweater and jeans is sitting alone, cross legged amidst a series of stone or concrete blocks.","A girl smiles as she&apos;s playing on a swing.","2","snli","snli"
"Three men sitting around a table during a speaking engagement.","Three men are sitting at a table having drinks while speaking to each other.","3","snli","snli"
"Causal orchestra members play in a church sanctuary as the stain glass window and elegant columns stand boldly behind them .","The sanctuary is optimized .","3","snli","joci"
"A man collecting driftwood along side a body of water.","Nobody is collecting","1","snli","snli"
"Jenny finally got the saddle on her horse","The horse is an equine .","5","roc","joci"
"An elderly woman places carrots into a casserole.","An elderly woman slices carrots for a casserole","3","snli","snli"
"An African American girl who had just received a doll from a family who adopted her from the states .","The states have a history .","5","snli","joci"
"Three men playing cricket wearing all white , with one man wearing a blue helmet .","The cricket is a field game .","5","snli","joci"
"The waitress came to our table with the bill","Tina offered to pay for the meal.","3","roc","roc"
"The nuptials are celebrated with rose petals.","The nuptials are celebrated with petals.","5","snli","snli"
"A woman chanting at a rally .","The rally is a group action .","5","snli","joci"
"People trying out foods from a local bakery at a local potluck.","The people are in a park","3","snli","snli"
"A young man is gaining power to hit a punching bag as his peers watch from behind him.","A woman puts on her cheerleading uniform.","1","snli","snli"
"The woman was found guilty of a misdemeanor.","She was sentenced to perform community service.","4","copa","copa"
"A man in a red raincoat is looking to the opposite site of the camera .","The raincoat is a coat .","5","snli","joci"
"The child let go of the balloon string.","The balloon rose into the air.","4","copa","copa"
"The man wanted to get revenge on his enemy.","The man declared a truce with his enemy.","2","copa","copa"
"Aid big guy wearing an orange jumpsuit is talking to a skinny lady who 's dressed up with a long skirt is standing on the freeway looking at the red Motorcycle that crash","The freeway is a highway .","5","snli","joci"
"I had to call technical support for a problem with my computer","The automated voice said the wait time was thirty minutes.","3","roc","roc"
"A clown in colorful attire applies cosmetics.","The clown is using a makeup brush.","3","snli","snli"
"Yong man with cellphone and goatee holding Obama sign","the young man is holding an obama sign","5","snli","snli"
"Gina loves pork chops","The chops are a physical phenomenon .","1","roc","joci"
"A spoof drag queen dances on a bands stage.","A man is sleeping.","2","snli","snli"
"Jamie got her dad 's gun from the top drawer in his room","She inspected it to see if it was loaded or not.","4","roc","roc"
"It was Ben 's first day of kindergarten","When he got there he was assigned a seat.","5","roc","roc"
"A small boy playing with a toy train set on a tabletop.","A boy is playing with Thomas the train.","3","snli","snli"
"A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray.","two people play a game with fruits and vegetables on the table","5","snli","snli"
"Tom walked into his classroom one morning and saw a new tank","The tank is a vessel .","5","roc","joci"
"One young girl is braiding colored cord into another girls hair.","The girl braided the colored cord into that girl&apos;s hair.","5","snli","snli"
"A person is reaching out of a window in a high rise to pull on a rope pulley.","a person is holding a rope","5","snli","snli"
"Erica was the new zoo keeper for the penguins","It was her first day at the job.","4","roc","roc"
"The room was dim.","I washed the windows.","3","copa","copa"
"I pulled the drain plug in the bathtub.","The water splashed onto the floor.","2","copa","copa"
"The homeowners disliked their nosy neighbors.","They hosted a barbeque in their backyard.","3","copa","copa"
"A man picking up a softball as another slides to the base.","The two men both stood while playing softball.","1","snli","snli"
"Erin loved doing makeup so much she wanted to make it her career","She began by researching the makeup artist career path.","4","roc","roc"
"Two dogs fighting, one is black, the other beige.","Two fighting dogs are seriously injuring one another.","4","snli","snli"
"A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.","The space spy ignores his parking tickets.","1","snli","snli"
"many people stand in a riot.","The people are holding signs.","3","snli","snli"
"A child is holding a cleanser in front of an oven.","A child is standing in front of an oven.","5","snli","snli"
"Four powerboats racing across the sea.","The boats are sleeping.","1","snli","snli"
"Two older women working their spindles diligently.","the women have hard work .","3","snli","seq2seq"
"We had to decide the color for our product by tonight","There was so many colors to choose from!","5","roc","roc"
"Men dressed in either theatrical or historical attire riding horses.","people are traveling by horses .","5","snli","seq2seq"
"Tom was an aspiring journalist","But when he graduated college, he couldn't find a job.","5","roc","roc"
"A student uses old planer to work wood in a shop.","A student is working in a wood shop.","5","snli","snli"
"I looked into the sun.","The sun blinded me.","5","copa","copa"
"Lydia and Tim took Tim 's truck to the beach","Before they knew it the wheels started to sink in the wet sand.","3","roc","roc"
"A group of women converse with one another as they work in a rice paddy.","People converse in a rice paddy.","5","snli","snli"
"Man and woman and others, with scary, gory makeup and holding fake brain walking down the street.","People have paint on their faces.","3","snli","snli"
"Strange man in interesting wardrobe walks through crowd.","A strange man walks through a crowd.","5","snli","snli"
"Beach goers look at a heart left in the sky by a sky writer.","People on a beach look at decorations in the sky.","5","snli","snli"
"A white and brown dog is pooping whist attached to leash by a tree.","The dog is pooping on the tree.","3","snli","snli"
"I had a math test in one hour","Alas, I couldn't find my pencils.","3","roc","roc"
"Blue and white drapes hanging down .","The drapes rise .","3","snli","joci"
"The weary worker forced himself to fight the relentless urge to sleep","An explosion kills the worker .","2","roc","joci"
"Nadia loved to watch ice skating on tv","Her mother signed her up for lessons.","4","roc","roc"
"A woman is propping her leg up revealing cleavage, a great tatoo, and some kicking boots.","An attractive woman with tattoos looking sexy.","5","snli","snli"
"A man in a striped shirt explains his proposal to his co-workers.","Man at work","5","snli","snli"
"Today I went for a walk on the beach","The walk is a path .","5","roc","joci"
"Janet drove hesitantly to the teacher 's conference","A person looks around the conference .","4","roc","joci"
"Here is a man wearing a gray hat with a flower boutonniere raising his glass.","Someone in formal wear giving a toast.","4","snli","snli"
"Two dogs with the same coloring look like they are going to bite each other in the face.","Two dogs are licking each other in the face.","3","snli","snli"
"Andrea was nervous when she arrived to color guard tryouts","She stood in front of the judges with her flag.","4","roc","roc"
"A woman wearing a brown scarf and sunglasses , walks through a shopping outlet .","The outlet is a receptacle .","1","snli","joci"
"Andrew had always been interested in French culture","In order to learn, he enrolled in a French course at a university.","3","roc","roc"
"Alice wanted to make a cake for her birthday","She gathered the ingredients and began to mix them.","5","roc","roc"
"A white female sitting behind a programmes and ice cream stand .","The programmes are information .","4","snli","joci"
"A woman with black smudges on her face smiles with teeth showing while holding a large white umbrella and some papers .","The smudges are a blemish .","5","snli","joci"
"A man in winter gear and a ski mask lays upon a pile of snow .","The mask is a covering .","5","snli","joci"
"The woman lingered in the bathtub.","The bathwater drained out of the tub.","3","copa","copa"
"Two young blond girls in white dress with flowers looking at horses pulling a white carriage on a brick road .","The horses are an equine .","5","snli","joci"
"A patrolman rides a horse through the city .","The patrolman is a lawman .","5","snli","joci"
"Jane worked as a nanny","The nanny is a goat .","1","roc","joci"
"Ben was resting in his dog cage all day","A person rattles the cage .","3","roc","joci"
"A woman walking on a sidewalk with a metal piece of her bag creating a glare.","a woman is walking on the sidewalk .","5","snli","seq2seq"
"A man crosses the city street in a snowstorm while a van and garbage truck drive by.","A man in a red hat crosses the city street in a snowstorm while a van and garbage truck drive by.","3","snli","snli"
"A family of four sit on a quilt in a crowd of others.","The family of four are sleeping.","2","snli","snli"
"Tim was having a party at his house","Tim played music over his huge surround sound system.","5","roc","roc"
"A man is in the process of shaving.","The man is near a shaver.","5","snli","snli"
"Joe watched his family sitting around to avoid the heat","The heat is a temperature .","5","roc","joci"
"A man reads a placard on top of a monitor.","A man reads a placard.","5","snli","snli"
"I felt bored.","I snorted.","3","copa","copa"
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing, with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background.","A group of people are sitting in a theater watching a movie.","1","snli","snli"
"A group of girls are changing in the dressing rom.","Some girls are in a dressing room.","5","snli","snli"
"An old man with glasses is sleeping on a bench .","The bench is an administration .","3","snli","joci"
"People walking along a river near a beautiful homestead.","A couple on a date walking together.","3","snli","snli"
"The man swatted at the fly.","The fly buzzed away.","5","copa","copa"
"A person in the distance hikes among hoodoos with stars visible in the sky .","The hoodoos are a priest .","4","snli","joci"
"Musicians are practicing as directed by a director.","Some musicians are tuning up before playing.","3","snli","snli"
"The little girl looked in awe at the sight.","The child gazed in adminiration at the view.","5","snli","snli"
"A man and a woman stare at the entrance-way to some catacombs.","A man and a woman are dancing in the park.","1","snli","snli"
"Looks like everyone is getting good gas mileage here with all these beautiful scooters!","Nothing is looking.","0","snli","snli"
"A high school chemistry lab experiments.","the students are titrating","3","snli","snli"
"The tire on my bike was flat.","I switched gears on the bike.","2","copa","copa"
"A bodybuilder prepares for his lift .","The bodybuilder is a person .","5","snli","joci"
"A man climbing an icy glacier with the assistance of a pick.","The man climbs the glacier.","5","snli","snli"
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab, another red crustacean held in his hand while another man sits and holds some food behind him.","The men are in CPR training.","1","snli","snli"
"Sara auditioned for a role in a car commercial","She practiced her one line night and day.","5","roc","roc"
"A man stands in front of an easel, on which is painted the young woman standing in front of the ocean with a parasol.","A tall human standing","3","snli","snli"
"A yellow truck with Casterol branding leads a white truck and blue truck down the road.","A yellow truck is alone on the road.","1","snli","snli"
"The man was lost.","He drew a map.","3","copa","copa"
"I had planted two plants called - butterfly bushes","I was planning how to pull them out of the garden to transplant.","3","roc","roc"
"Military trainees in a rubber raft hook a ladder onto a larger boat.","The zombies are floating.","1","snli","snli"
"Even though it's rather cool for outdoor dining, many people are enjoying the cafeteria-style food.","People are avoiding the gross food.","2","snli","snli"
"Ivan was a professional dog walker and - he worked often","The dog often chased Ivan around the house, trying to bite him.","2","roc","roc"
"The button on my shirt fell off.","I sewed the button back on.","4","copa","copa"
"Three people walking through a ravine between two rocky cliffs.","The people are scaling the cliffs.","2","snli","snli"
"A cheerleading competition and the black squad is making a pyramid.","The cheerleaders are competing.","5","snli","snli"
"A worker is power washing the sidewalk outside of an estate surrounded by an iron fence.","A man washing in a weird fashion because he is a pokemon and is indoors.","1","snli","snli"
"A group of youths march down the street waving flags showing the color spectrum.","The youth are outside.","5","snli","snli"
"A man is getting his book signed by the author .","The author is a maker .","5","snli","joci"
"DeeDee does not wear make-up","At work, her boss told her to start wearing make-up.","3","roc","roc"
"Larry loved to fish for lobster","A menu offers the lobster .","3","roc","joci"
"An older man holding a crook, outside, wearing a red embroidered hat with a black tassel hanging from it, red glasses, and red and gold embroidered vest over white robes","The old man was wearing a red robe with no hat.","2","snli","snli"
"Two young boys playing football , running at full speed ; one with a white jersey and the other a blue jersey .","The speed is a motion .","5","snli","joci"
"A man is performing a jumping trip on his bicycle.","A woman skateboarding.","1","snli","snli"
"Two people , using ropes and clamps are climbing the sheer side of a mountain .","A person removes the clamps .","3","snli","joci"
"Greyhound running on track with blue vest with a white numeral two.","a dog is running .","5","snli","seq2seq"
"Tim just broke his leg last week while running track","The leg is a limb .","5","roc","joci"
"An elderly lady in a brown hooded coat takes a newspaper from a friendly old man with a stack of papers he is distributing in a large foyer.","The old lady takes the paper from the older man.","5","snli","snli"
"Women swimmers are forming an elaborate shape in the middle of a huge pool .","The shape is an attribute .","4","snli","joci"
"My brother was born very sick","One day he got so sick he had to go to the hospital for a long time.","4","roc","roc"
"A group of individuals, gathered around a pit fire and wieners on a grill, are drinking an assortment of beverages.","A group of people are watching a play in a theater.","1","snli","snli"
"Dan was excited to claim his prize in the cereal box","His face lit up when his hand grazed plastic among the cereal.","4","roc","roc"
"The wealthy man died of old age.","His son got into legal trouble.","2","copa","copa"
"A cute child is sitting on the rocks in a yellow frock.","A cute child is sitting on the rocks in a yellow frock and blue shoes.","3","snli","snli"
"His lawyer always said tell the police nothing","The silence was unbearable.","2","roc","roc"
"Jason disliked dill pickles","Jason refused to eat a dill pickle.","5","roc","roc"
"A drought occurred in the region.","The water became contaminated.","3","copa","copa"
"Seven people got stuck in an elevator when the power went out","They tried to reach help with the emergency phone but no one answered.","3","roc","roc"
"Beside a brick building , a woman hugs a recent graduate in congratulations .","The congratulations are echoed by people .","3","snli","joci"
"Three construction workers stand over a job site wearing ragged and tattered clothing while a man and woman pass behind them and a large pill of dirt and debris sit in front.","Six people can be seen working at the job site.","2","snli","snli"
"I had planted two plants called - butterfly bushes","I did not know that they would get over 9 feet tall.","3","roc","roc"
"Claire and her husband Tom valued their privacy","The privacy is respected at a time .","3","roc","joci"
"Ben did n't like art and his wife knew how much he hated it","To get back at him for a joke, she signed them up for pottery courses.","3","roc","roc"
"Three people sit on the curb in a parking lot .","The curb is an edge .","5","snli","joci"
"Someone is welding a girder at a work site.","Someone is blowing glass.","2","snli","snli"
"A group of teenagers crashed the party.","The host of the party kicked them out.","3","copa","copa"
"The child complained that he had to go to the bathroom.","His father gave him a soda to drink.","2","copa","copa"
"Race car flies by, in the lead of the pack, closely followed by second and third places!","Nascar race featuring the first, second, and third place cars.","4","snli","snli"
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.","An old man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ","5","snli","snli"
"A large amount of people walking through a park on a sunny day .","The amount is an abstraction .","3","snli","joci"
"A helicopter is flying behind a plane that is performing aerobatics.","A helicopter is standing by in case the plane&apos;s pilot messes up.","3","snli","snli"
"The girl found a bug in her cereal.","She lost her appetite.","5","copa","copa"
"A fisherman cutting bait aboard his boat, which is moored at the dock, while pelicans swim nearby.","A woman is going for a ride on her boat.","1","snli","snli"
"The detective revealed an anomaly in the case.","He finalized his theory.","3","copa","copa"
"Three women enjoying a balloon joyride.","Three women are enjoying a plane ride through the air.","1","snli","snli"
"A group of people discussing the merits of the mullet .","The merits are a worth .","4","snli","joci"
"The girl made a mistake on her exam.","She guessed at the answer.","4","copa","copa"
"A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand .","The leap is a jump .","5","snli","joci"
"Jenny had been doing a couch to 5k preparation","She was excited and ready to go.","5","roc","roc"
"I put ice cubes in the hot soup.","The soup cooled down.","5","copa","copa"
"The band played their hit song.","The audience politely listened in silence.","3","copa","copa"
"Carl was carrying his groceries inside a paper bag","But the handle tore off.","3","roc","roc"
"Mike and his brother herded cattle for a living","They worked long hours on the ranch but they both loved it.","5","roc","roc"
"The rain subsided.","I browsed the internet.","3","copa","copa"
"A man mows the lawn at an orchard, careful to avoid the hedges and flowers on either side of him.","A man does yard work.","5","snli","snli"
"Three people walking through a ravine between two rocky cliffs.","There are people walking outdoors.","5","snli","snli"
"Joseph has been growing a beard for about a year","His friends have been afraid to tell him that it looks very bad.","4","roc","roc"
"My subscription to the magazine expired.","I discarded the new issue.","3","copa","copa"
"Small dog seeks comfort from his owner in this shopping scene.","a dog is talking","1","snli","seq2seq"
"I felt exhausted.","I went to bed early.","4","copa","copa"
"Carl got a brand new truck from the dealership","A person works at the dealership .","5","roc","joci"
"Jeff 's family moved to a new city right before his freshman year","He hoped to make some friends before his first day of class.","5","roc","roc"
"The scientist walked through the deep jungle in search of a rare frog","It began to rain to he took shelter under a tree.","3","roc","roc"
"A young lady wearing a turquoise colored bustier over a black shirt, a black skirt, netted tights, and laced up gloves is sitting next to five other young ladies, most of which are also dressed in black colored fitted clothing.","A group of ladies get ready for a goth fashion show.","3","snli","snli"
"A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area.","A guy and girl sit beside each other.","3","snli","snli"
"A young girl is fishing with some elderly people, possibly her grandparents.","a girl fishes","5","snli","snli"
"Phil bought a brand new vase from the mall","Once he arrived home, he placed it on the mantle.","3","roc","roc"
"Two people play horseshoes .","The horseshoes are game equipment .","5","snli","joci"
"Ted bought a metal detector","When he started using it, he heard a beep.","4","roc","roc"
"When it did n't rain much we would turn on the hose in the back yard","A leak is traced to the hose .","3","roc","joci"
"I 've set a goal to lose thirty pounds by the end of June","I've been running lately but only about 2 miles.","3","roc","roc"
"There was a kid who was afraid of his inhaler","The inhaler is strapped to a roof .","2","roc","joci"
"an ambulance drives on the street .","A settler is taken in the ambulance .","3","snli","joci"
"A young man lights a lighter while another looks on.","A young man twiddles his thumbs.","2","snli","snli"
"Michael likes to collect rare coins","One day Michael was walking down the street and spotted a coin.","4","roc","roc"
"A man in an orange jumpsuit rests a hand on a very large reel of thick rope.","man in jumpsuit","5","snli","snli"
"Cool, refreshing snow flies as a skier speeds quickly down a wintry wonderland.","Somone is outside.","5","snli","snli"
"The woman was summoned for jury duty.","She contacted her lawyer.","2","copa","copa"
"A man is standing in the street wearing an elaborate outfit which includes a blue t-shirt, suspenders and purple tights.","A man is standing in the street wearing an elaborate outfit which includes a blue t-shirt, suspenders and purple tights and juggling.","4","snli","snli"
"A baby wearing a green bib with a frog on it is crying.","a baby is sad","4","snli","snli"
"A black scientist looks through a scope examining a biological specimen 's blood cells .","The scope is seized .","2","snli","joci"
"Mike decided to work on his yearly tax returns","He gathered all of his documents and began to fill out the return.","4","roc","roc"
"Two construction workers climbing the steel ribbed exterior of a new building at their work site .","The steel is an alloy .","4","snli","joci"
"Several uniformed people carrying firearms and wearing white gloves are lined up in ranks and standing at attention.","Several people are wearing dark gloves.","1","snli","snli"
"A woman and man walking down a street in an Asian locale.","A woman and a man are walking down a street.","5","snli","snli"
"Bob borrows some money from a loan shark to pay off another debt","So Bob decides to skip town.","3","roc","roc"
"The bathroom sink was clogged.","I poured drain cleaner into it.","4","copa","copa"
"A cute child is sitting on the rocks in a yellow frock .","A person changes into the frock .","3","snli","joci"
"The teachers at Edison School had a constant problem with discipline","One day, the students started a food fight at the cafeteria.","5","roc","roc"
"Protesters holding flags and signs are protesting in the streets of New York as an NYPD police officer keeps the peace .","The peace is a treaty .","3","snli","joci"
"The lifeguard gave me the signal to move across the water slide","In addition, the force of the water pushed me out of the slide.","3","roc","roc"
"Sam was addicted to drinking alcohol","His family wanted him to stop drinking.","4","roc","roc"
"The man threw his empty can onto the street.","He was jumped from behind.","2","copa","copa"
"A man on scaffolding working on the masonry of a wall.","A man is laying new bricks on the wall.","5","snli","snli"
"One day Jordyn was watching her fish Richard - swim - in his tank","The fish causes a disease .","2","roc","joci"
"Three construction workers stand over a job site wearing ragged and tattered clothing while a man and woman pass behind them and a large pill of dirt and debris sit in front.","Three guys sitting outside at a job site.","2","snli","snli"
"Jen had an appointment with her professor","There was so much traffic.","2","roc","roc"
"The gardener wanted his plants to flourish.","He put fertilizer in the soil.","5","copa","copa"
"Group of people gathered for a funeral on a beach .","The funeral is a ceremony .","5","snli","joci"
"A boy in a fuzzy goat holds a craw and looks at it.","A funny human holds a craw","3","snli","snli"
"John and his dad were on their way to the grainery to pick up seed","When they arrived, they noticed nobody was in the store.","3","roc","roc"
"Someone left a box of kittens outside of Valerie 's work","She talked to her coworkers and was able to find homes for them.","3","roc","roc"
"Two young boys , one in a green shirt eating a banana and one in a blue shirt eating an apple .","The banana is fresh .","4","snli","joci"
"Francis had given up on finding a lover","The lover is a follower .","3","roc","joci"
"Molly went to a Strawberry patch","The patch adds to an attraction .","3","roc","joci"
"A man in a University of New Hampshire t-shirt prepares to make smores with tinfoil , Hershey 's chocolate , graham crackers and marshmallows .","A person uses the tinfoil .","5","snli","joci"
