"CONTEXT","HYPOTHESIS","LABEL","CONTEXT_FROM","HYPOTHESIS_FROM","SUBSET"
"A bedroom which contains a bed which has a striped bedspread and dust ruffle , is being vacuumed by a man wear navy shorts and t-shirt .","The bedspread is found .","3","SNLI-train","AGCI-WK","AGCI"
"A boy and a girl sitting together in a car at a gas pump as it rains .","A person gets out of the car .","5","SNLI-train","AGCI-WK","AGCI"
"Scene from a life show with man singing in the center , there are two women one on each side of him .","The singing marks a time .","2","SNLI-dev","AGCI-WK","AGCI"
"A priest leads mass to his parish .","A province remains part of the parish .","2","SNLI-train","AGCI-WK","AGCI"
"A man in a baby blue work-shirt talks on the phone on the busy sidewalk .","A person deals with the work-shirt .","1","SNLI-train","AGCI-WK","AGCI"
"A young boy is preparing to shoot a paintball gun .","Troops use the gun .","2","SNLI-train","AGCI-WK","AGCI"
"A man in a wetsuit , with scuba gear on his back , leans over on a rocky plateau .","A person reaches the plateau .","2","SNLI-train","AGCI-WK","AGCI"
"A hippie is making two cappuccinos.","Someone is making coffee.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A speaking woman at a podium has the phrase '' Armenian Genocide '' written on it , flanked by priests and men in suits .","The priests are a clergyman .","5","SNLI-test","AGCI-WK","AGCI"
"Two young girls sharing a music stand , play violas .","The violas are a herb .","1","SNLI-train","AGCI-WK","AGCI"
"the alleyway of an urban city, the citizens going about their day.","people are walking in an urban city .","5","SNLI-train","AGCI-NN","AGCI"
"A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .","The clutch is a pedal .","1","SNLI-train","AGCI-WK","AGCI"
"Four young Asian women stand outside by an empty cardboard box , using straws to sip drinks from yellow cups .","The drinks continue to dominate .","1","SNLI-train","AGCI-WK","AGCI"
"Musicians are practicing as directed by a director .","The director wins nod .","3","SNLI-train","AGCI-WK","AGCI"
"A man lifting up a woman by the waist dancing ballroom in the middle of a little town .","The ballroom is packed .","4","SNLI-train","AGCI-WK","AGCI"
"A man getting help with fitness from a physical trainer in a gym .","The fitness make a vessel .","1","SNLI-train","AGCI-WK","AGCI"
"Peoples hands shown shucking fresh oysters .","The oysters contain a pearl .","3","SNLI-train","AGCI-WK","AGCI"
"A woman walking on a sidewalk with a metal piece of her bag creating a glare .","The glare is brightness .","5","SNLI-train","AGCI-WK","AGCI"
"A young man is gaining power to hit a punching bag as his peers watch from behind him.","a man is holding a broom","2","SNLI-train","AGCI-NN","AGCI"
"Kim gathered all her pots and pans from the kitchen","The pots are a large indefinite quantity .","1","ROCStories","AGCI-WK","AGCI"
"A woman in a brown shirt and glasses looks at a diagram on a screen .","The diagram lists an event .","3","SNLI-train","AGCI-WK","AGCI"
"Women in sari examine a graph .","The graph matches a graph .","2","SNLI-train","AGCI-WK","AGCI"
"The crib for Shelby 's baby arrived at the door","A baby blinks in the crib .","2","ROCStories","AGCI-WK","AGCI"
"A family came up to a painter","Dogs pop up in the family .","2","ROCStories","AGCI-WK","AGCI"
"An elderly man is painting a triptych of elderly men .","The triptych holds an interest .","3","SNLI-train","AGCI-WK","AGCI"
"Two women stand on a beach and perform stretches or yoga together , facing towards the water and away from the camera .","The yoga is a hinduism .","2","SNLI-dev","AGCI-WK","AGCI"
"Rose got an inflated ball to use for exercise","The exercise is a training .","5","ROCStories","AGCI-WK","AGCI"
"It was a hot day in summer and Erin was feeling warm","The summer is a season .","5","ROCStories","AGCI-WK","AGCI"
"Wedding attendees dancing a little , before the bands starts .","The attendees must determine a theme .","2","SNLI-train","AGCI-WK","AGCI"
"A religious protester expresses his displeasure over political violence in Taiwan .","A suspect shows the displeasure .","2","SNLI-train","AGCI-WK","AGCI"
"A man empties a bag of white crystals into a swimming pool .","The crystals display tvs .","1","SNLI-train","AGCI-WK","AGCI"
"New sport is being played to show appreciation to the kids who can not walk .","A government spares the appreciation .","1","SNLI-train","AGCI-WK","AGCI"
"Author in green hat doing a book signing.","An author in a green hat is signing books","5","SNLI-train","SNLI-NEUTRAL","SNLI"
"Herman loved to watch videos of Minecraft on Youtube","The videos are a visual communication .","5","ROCStories","AGCI-WK","AGCI"
"One of them is carrying the pipe and the other one is placing the gas cylinder .","The cylinder is a solid .","4","SNLI-train","AGCI-WK","AGCI"
"Illia was doing a history paper on a beverage","The beverage is a food .","5","ROCStories","AGCI-WK","AGCI"
"A little boy wearing a yellow , white and black striped shirt is whispering a secret to a little girl wearing a white long sleeved-shirt .","The secret lies .","1","SNLI-test","AGCI-WK","AGCI"
"Cara finally took the training wheels off her bike","A person gets off the bike .","3","ROCStories","AGCI-WK","AGCI"
"My wife bought me a cider making kit in 2009","The kit is a gear .","2","ROCStories","AGCI-WK","AGCI"
"You must have a great personality , since you chose to conduct this survey-type layout .","The layout contracts .","1","SNLI-train","AGCI-WK","AGCI"
"Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background.","Drum kit cymbals are under a microphone.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A man wearing black jacket poses with a smile .","The smile is a facial expression .","5","SNLI-train","AGCI-WK","AGCI"
"I paid the tattoo artist for the tattoo procedure","He adjusted his tools and began the process.","5","ROCStories-1st","ROCStories-2nd","ROC"
"Two cyclists competing in a road race being urged on by the crowd lining the racecourse .","A person is taken to the racecourse .","4","SNLI-train","AGCI-WK","AGCI"
"A man measures the depth of snow .","A state passes along the depth .","1","SNLI-train","AGCI-WK","AGCI"
"The young boy in a red shirt and jeans resists his sister 's request for water on the road .","The request is little .","3","SNLI-test","AGCI-WK","AGCI"
"I was at the mall yesterday to find the perfect dress","As soon as I walked into Ann Taylor my eyes found the perfect one.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A man crashing into the water whilst waterskiing or hang diving .","A person loves the diving .","3","SNLI-train","AGCI-WK","AGCI"
"A man helping a woman practice boxing .","A person is the biggest star in the boxing .","4","SNLI-train","AGCI-WK","AGCI"
"The traffic light turned yellow.","The driver pushed the brake.","3","COPA-premise","COPA-effect","COPA"
"Elderly man painting a picture with a small paintbrush .","The paintbrush is an applicator .","5","SNLI-dev","AGCI-WK","AGCI"
"Two women share gossip while waiting for a bus .","The gossip is a report .","1","SNLI-train","AGCI-WK","AGCI"
"Man and woman and others , with scary , gory makeup and holding fake brain walking down the street .","The fake is a deceiver .","5","SNLI-train","AGCI-WK","AGCI"
"Boris felt that his workplace lacked personality","He brainstormed about how to improve this situation.","5","ROCStories-1st","ROCStories-2nd","ROC"
"There was a kid who was afraid of his inhaler","The inhaler is a plastic mouthpiece with a plug .","5","ROCStories","AGCI-WK","AGCI"
"Longhair cowboy plays guitar and drinks moonshine from a jug .","The moonshine kills people .","3","SNLI-train","AGCI-WK","AGCI"
"Two and four footed neighbors stop by to visit .","The neighbors are arrested .","3","SNLI-train","AGCI-WK","AGCI"
"A man stands by some boxes outside of a brick oven pizza restaurant .","The boxes are a compartment .","4","SNLI-train","AGCI-WK","AGCI"
"a man bows in prayer over a very ornate coffin in a cathedral .","A person gets in the coffin .","2","SNLI-train","AGCI-WK","AGCI"
"A man wearing bright orange construction vest washing down a train with nothing but a long handled scrubber and a wash bucket","The scrubber is convenient .","3","SNLI-train","AGCI-WK","AGCI"
"A couple dances at a disco .","The disco refers to an existence .","1","SNLI-train","AGCI-WK","AGCI"
"Though frail looking , this turbaned woman is able to carry a large pot and a bound bundle of long sticks .","A person receives the bundle .","3","SNLI-dev","AGCI-WK","AGCI"
"A gaggle of youths sitting atop a cement structure .","The gaggle argues .","3","SNLI-train","AGCI-WK","AGCI"
"A female gymnast, upside down with her body at full extension.","A female gymnast is competing.","5","SNLI-train","SNLI-NEUTRAL","SNLI"
"Two young women in a lab , doctor 's office or classroom filling vials .","The filling is a thread .","1","SNLI-train","AGCI-WK","AGCI"
"Marge started spring cleaning in her son 's boyhood room","The spring is a season .","5","ROCStories","AGCI-WK","AGCI"
"Two men in hoodies loiter on the steps of an imposing looking public building next to a statue of a man and a lion , .","The lion is a big cat .","5","SNLI-train","AGCI-WK","AGCI"
"The girl performed in a dance recital.","Her parents showed her how to dance.","4","COPA-premise","COPA-effect","COPA"
"Tina needed custom shoes for an event she was attending","The event is a phenomenon .","3","ROCStories","AGCI-WK","AGCI"
"Two kids on wakeboards attempt to give one another a high-five.","Two kids are riding on wakeboards.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .","A person registers as the thief .","4","SNLI-train","AGCI-WK","AGCI"
"A cowboy is holding the reins of his horse as he poses for a picture .","The reins are convenient .","3","SNLI-train","AGCI-WK","AGCI"
"A young man is swinging his tennis racket with control , and persistence","The persistence is a continuance .","4","SNLI-train","AGCI-WK","AGCI"
"He has very wide verity of hats to sell .","A person agrees with the verity .","1","SNLI-train","AGCI-WK","AGCI"
"Rick and his dad used to see wrestling matches together all the time","A person is suspended from the wrestling .","3","ROCStories","AGCI-WK","AGCI"
"James was a fire chief who wanted to retire to Florida","The chief is fired .","3","ROCStories","AGCI-WK","AGCI"
"An older gentleman is selling produce out of the back of his truck as a woman peruses his products .","The products are a creation .","5","SNLI-train","AGCI-WK","AGCI"
"An unidentified woman sleeping in a very unusual nook of a decorative stone structure .","The nook can play .","1","SNLI-train","AGCI-WK","AGCI"
"A woman in a flowered sundress walks her white chihuahua past a green building .","The chihuahua is a toy dog .","3","SNLI-train","AGCI-WK","AGCI"
"A man on scaffolding working on the masonry of a wall.","A man is laying on the beach.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Two men stand strong under the waterfall's cascade.","Under the waterfall&apos;s cascade, there stands couple of strong men","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Beth wanted to make some brownies","The brownies fry a dinner .","1","ROCStories","AGCI-WK","AGCI"
"An upset woman with her makeup streaming down her face from her tears .","An alliance demands the tears .","2","SNLI-train","AGCI-WK","AGCI"
"A young lady in her early twenties is sweeping the floor of her kitchen and smiling at the camera .","The twenties are called a number .","3","SNLI-train","AGCI-WK","AGCI"
"Two people dressed in winter apparel venture out onto a frozen body of water .","The venture collapses .","1","SNLI-train","AGCI-WK","AGCI"
"I was jogging up a hill at a leisurely pace","The hill is a structure .","4","ROCStories","AGCI-WK","AGCI"
"A woman reacts to something unseen as she prepares to line up her pool shot .","The unseen is mistaken .","1","SNLI-train","AGCI-WK","AGCI"
"A man pushing a hand-truck of boxes is bending over to pick up a pear .","The pear is a fruit tree .","4","SNLI-test","AGCI-WK","AGCI"
"Jill 's grandma left her a beautiful necklace","Jill treasured the string of pearls.","5","ROCStories-1st","ROCStories-2nd","ROC"
"Three men sitting around a table during a speaking engagement .","The engagement is an employment .","3","SNLI-train","AGCI-WK","AGCI"
"A man wearing a mask with green dreadlocks and blue gloves stands in front of a woman in a brown cardigan .","A rise is led by the cardigan .","1","SNLI-dev","AGCI-WK","AGCI"
"Two men are standing in the street behind a table that has a laptop and a TV monitor on it .","A government appoints the monitor .","1","SNLI-train","AGCI-WK","AGCI"
"A band is practicing for their next gig .","The gig is an implement .","1","SNLI-train","AGCI-WK","AGCI"
"A man came to the local TV station with an odd request","The producer agreed if he paid him $5,000.","3","ROCStories-1st","ROCStories-3rd","ROC"
"A man wearing a blue sweatshirt and dark baseball cap is sweeping the floor with others watching .","A person tips the cap .","3","SNLI-train","AGCI-WK","AGCI"
"Augustus and Seana were best friends since childhood","A person enjoys the childhood .","4","ROCStories","AGCI-WK","AGCI"
"People are at an outdoor shopping bazaar walking and looking at merchandise .","A person calls for the bazaar .","3","SNLI-train","AGCI-WK","AGCI"
"A guy wearing a blue# 5 jersey is hitting a yellow softball in a grassy field to some fielders.","the man is throwing the field .","1","SNLI-train","AGCI-NN","AGCI"
"Businesswoman and man speaking together in front of awaiting army personnel .","A text is perfected for the businesswoman .","2","SNLI-train","AGCI-WK","AGCI"
"Woman in African dress shovels grain .","The grain involves an improvisation .","1","SNLI-train","AGCI-WK","AGCI"
"MeGan tried her friend 's doorbell but nothing happened","She banged on the door but no one answered.","4","ROCStories-1st","ROCStories-2nd","ROC"
"Brian wanted to attend a jazz performance","A person creates the performance .","3","ROCStories","AGCI-WK","AGCI"
"A woman is captured midair into her leap with pyramids in the background .","A race is reported on through the pyramids .","1","SNLI-dev","AGCI-WK","AGCI"
"A military man training his dog for combat .","A major praises the combat .","2","SNLI-train","AGCI-WK","AGCI"
"Richard and his family were in charge of an ancient mesopotamian site","The site is closed .","3","ROCStories","AGCI-WK","AGCI"
"Larry was addicted to smoking","Inspectors find the smoking .","1","ROCStories","AGCI-WK","AGCI"
"A woman is sitting on the ground crocheting .","A person catches up on the crocheting .","3","SNLI-train","AGCI-WK","AGCI"
"A woman in wearing a white hat holding a scythe and a cutting of wheat.","A sad woman in wearing a white hat holding a scythe and a cutting of wheat.","3","SNLI-train","SNLI-NEUTRAL","SNLI"
"The pond froze over for the winter.","People skated on the pond.","5","COPA-premise","COPA-effect","COPA"
"Three men pose for a picture while standing in front of table at a conference .","The conference is deadlock .","2","SNLI-dev","AGCI-WK","AGCI"
"A young boy dressed in a t-shirt bearing scars on his arm , browses through a book .","An investigation finds the scars .","2","SNLI-train","AGCI-WK","AGCI"
"A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .","The odor is strong .","5","SNLI-train","AGCI-WK","AGCI"
"Joe was making an advertisement for his line of shirts","A person submerges the line .","2","ROCStories","AGCI-WK","AGCI"
"Sally found a little mouse in a field one day","A person maintains the field .","3","ROCStories","AGCI-WK","AGCI"
"A girl in jeans and a black shirt pours liquid into a 2 liter bottle using a funnel .","A bank is used as the funnel .","1","SNLI-train","AGCI-WK","AGCI"
"A smiling redheaded woman wearing a blue top and jeans stands beside a white fridge and stove in a small kitchen space .","The fridge is emptied .","2","SNLI-train","AGCI-WK","AGCI"
"Two women and a man are sitting on metal bollards .","A military wants the bollards .","2","SNLI-train","AGCI-WK","AGCI"
"The washing machine was making a terrible banging noise","He found the clothes clumped together on one side of the machine.","3","ROCStories-1st","ROCStories-3rd","ROC"
"Female in a pink tutu and pink boxing gloves performing in a chained off area .","The tutu deserves a face .","1","SNLI-dev","AGCI-WK","AGCI"
"A man in glasses looks at his electronic device .","The device is an instrumentality .","1","SNLI-train","AGCI-WK","AGCI"
"The drunk man in the gray shirt is attempting to drill into a keg of beer , while another keg awaits .","Buyers sit on the keg .","3","SNLI-train","AGCI-WK","AGCI"
"A lumberjack cuts down a pine tree in a snowy area .","The lumberjack is the british pound .","1","SNLI-dev","AGCI-WK","AGCI"
"Ben wanted to play baseball for his school","He signed up to tryout for the team.","5","ROCStories-1st","ROCStories-2nd","ROC"
"Three men and a machine are doing demolition on a street.","Three men on a street.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Number 57 and 90 blocking another football team from making a play .","A blast injures the 90 .","1","SNLI-train","AGCI-WK","AGCI"
"A young man in camouflage shorts and a hat jumping up in the air on a bridge .","The air is crisped .","1","SNLI-train","AGCI-WK","AGCI"
"A native girl in a green shirt readies a slingshot .","The slingshot is a plaything .","4","SNLI-train","AGCI-WK","AGCI"
"Men dressed in either theatrical or historical attire riding horses.","The men are riding horses.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Surrounded by tents , two women wearing bikinis and a man in a swim trunk work together to raise a flag pole , the top of which is a large one with white background and some green , big-teethed critter on it .","A person keeps the critter .","1","SNLI-train","AGCI-WK","AGCI"
"A young boy is pushing someone with a broken foot into the hospital .","The hospital is a medical institution .","5","SNLI-dev","AGCI-WK","AGCI"
"A man in a plaid shirt laying tile and grout in front of Joseph A. Bank clothing store .","The grout is a plaster .","5","SNLI-train","AGCI-WK","AGCI"
"Three naked people ride bicycles in a city street while law enforcement and a crowd looks on .","The enforcement leads to fines .","3","SNLI-train","AGCI-WK","AGCI"
"Pop art of Cher made to look like Che Guevera .","A person perfects the art .","3","SNLI-train","AGCI-WK","AGCI"
"A bricklayer smoothing out concrete .","A father works as the bricklayer .","3","SNLI-train","AGCI-WK","AGCI"
"The people in the red parasail are gliding over the water .","A person goes to die in the parasail .","2","SNLI-train","AGCI-WK","AGCI"
"Orange steamroller crushing sub-pavement while doing street repair on a closed and torn up city street .","The repair fails .","3","SNLI-train","AGCI-WK","AGCI"
"A young girl in a green sports vest takes the baton and runs in a relay .","The relay is a passage .","1","SNLI-train","AGCI-WK","AGCI"
"Walking home in the pouring rain Ann - wished she had an umbrella","She then spotted a plastic bag, and tied it over her head.","2","ROCStories-1st","ROCStories-3rd","ROC"
"The dude at the party is raging !","The dude has a right .","3","SNLI-dev","AGCI-WK","AGCI"
"Bob had round glasses","The glasses are an amphetamine .","1","ROCStories","AGCI-WK","AGCI"
"A carver bent over a statue holding a chisel and a carving hammer of sorts , wearing a black work shirt and safety goggles .","The carver is a diner .","3","SNLI-train","AGCI-WK","AGCI"
"A man with a cigarette sits on the stoop .","The stoop is a porch .","4","SNLI-test","AGCI-WK","AGCI"
"U.S. Marine dressing up a small child in flak and kevlar , showing them how to aim .","The flak declines a comment .","1","SNLI-train","AGCI-WK","AGCI"
"The man looked at his watch.","He realized he forgot something.","3","COPA-premise","COPA-effect","COPA"
"A rowing team races forward in competition with the motivation of their leader in front of the boat .","The motivation important .","5","SNLI-train","AGCI-WK","AGCI"
"An asian woman is sitting on the floor inside holding a purse made from palm fronds .","The fronds have a competition .","1","SNLI-train","AGCI-WK","AGCI"
"A trendy young man is talking on his cellphone near a fountain and is wearing red sunglasses and shiny loafers .","A pair finds the loafers .","2","SNLI-train","AGCI-WK","AGCI"
"Ed took out his airplane for fun on a cloudy day","The airplane hits a mine .","2","ROCStories","AGCI-WK","AGCI"
"A bright carnival scene displays balloons , vendors , and a carousel in front a burst of clouds .","The burst sabotages an effort .","2","SNLI-train","AGCI-WK","AGCI"
"Man being towed behind a boat skiboarding at a high rate of speed .","The rate is a proportion .","3","SNLI-train","AGCI-WK","AGCI"
"A farmer fertilizing his garden with manure with a horse and wagon .","The manure is destroyed .","2","SNLI-train","AGCI-WK","AGCI"
"Man in gray shirt looks through wall studs at a construction site with construction workers in the background .","A person is in touch with the studs .","1","SNLI-train","AGCI-WK","AGCI"
"Four guys playing frisbee in an open grassy field with several people and tents in the background .","The field is a knowledge domain .","1","SNLI-train","AGCI-WK","AGCI"
"Tina needed custom shoes for an event she was attending","She wanted custom black shoes.","3","ROCStories-1st","ROCStories-3rd","ROC"
"Several bike riders line up for the start of a race .","The start is a beginning .","5","SNLI-train","AGCI-WK","AGCI"
"Tim and his friends were standing on an overpass","The overpass are a bridge .","3","ROCStories","AGCI-WK","AGCI"
"A woman is looking at the nutrition facts of a food item , while her friend plays on her smartphone .","The facts are a concept .","5","SNLI-train","AGCI-WK","AGCI"
"Woman is sewing in order to make a living in her country .","A person looks to make the living .","4","SNLI-dev","AGCI-WK","AGCI"
"Two people are sitting on furniture and looking at the camera .","The furniture is replaced .","3","SNLI-train","AGCI-WK","AGCI"
"A man that looks like a king enjoying a cup of tea .","The king is jailed for years .","1","SNLI-train","AGCI-WK","AGCI"
"The spelunker finds water during his trek .","The spelunker is found in a cave .","3","SNLI-train","AGCI-WK","AGCI"
"A large cloud formed in the sky over Ben 's workplace","A person looks up to the sky .","4","ROCStories","AGCI-WK","AGCI"
"Larry loved to fish for lobster","A menu offers the lobster .","3","ROCStories","AGCI-WK","AGCI"
"Two combatants in a rugby stadium making a move on each other , one wearing green with ball and defended by # 5 in the maroon colors .","The combatants crash .","3","SNLI-train","AGCI-WK","AGCI"
"A man with green hair has won spin the bottle , a second male player shows consternation , a third female is amused .","The spin does at a cost .","1","SNLI-train","AGCI-WK","AGCI"
"People riding an old looking trolley .","The trolley is operated by a group .","3","SNLI-dev","AGCI-WK","AGCI"
"My son and I drove to the shelter to adopt a new cat","A fire melts the shelter .","2","ROCStories","AGCI-WK","AGCI"
"A man squatted on a rooftop cleans the rain gutters with a hose .","The gutters are a channel .","3","SNLI-train","AGCI-WK","AGCI"
"Workers pull a template off a truck .","The template covers everything .","3","SNLI-train","AGCI-WK","AGCI"
"A man stands on a peak near a statue .","A person sets up the peak .","1","SNLI-train","AGCI-WK","AGCI"
"Spectators looking on while court jesters are in the street throwing something up in air .","The jesters go to disappear .","2","SNLI-train","AGCI-WK","AGCI"
"One man and woman looking overs paper and two men looking through ledger .","The ledger is a record .","5","SNLI-train","AGCI-WK","AGCI"
"Barber giving a haircut .","The haircut is a hairdo .","5","SNLI-train","AGCI-WK","AGCI"
"A man in white flees men dressed as law enforcement agents .","The agents are a businessperson .","4","SNLI-train","AGCI-WK","AGCI"
"Mike dreamed of traveling to his parents country of Mexico","He knew he would have to learn the language.","4","ROCStories-1st","ROCStories-3rd","ROC"
"A man wearing a dark suit looks down as another person dressed in black and white does the same .","The suit is little .","3","SNLI-train","AGCI-WK","AGCI"
"Men , wearing red traditional garb , appear to be taking part in a religious Buddhist tradition outside a temple .","A person breaks the tradition .","3","SNLI-train","AGCI-WK","AGCI"
"Man standing on a tricycle riding in front of a crowd .","The tricycle is a wheeled vehicle .","5","SNLI-dev","AGCI-WK","AGCI"
"USA basketball player dribbling to the basket protecting the ball from the opposition .","The opposition is an action .","1","SNLI-train","AGCI-WK","AGCI"
"A man is standing behind a counter selling candy in what appears to be a comic rendition .","A ceremony includes the rendition .","2","SNLI-train","AGCI-WK","AGCI"
"I do surveys online to make extra cash","The cash is a currency .","5","ROCStories","AGCI-WK","AGCI"
"Nala was trying to lose weight","The weight is a physical property .","5","ROCStories","AGCI-WK","AGCI"
"A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road .","The junk is removed .","2","SNLI-test","AGCI-WK","AGCI"
"The boy pushed his sister.","His sister tattled on him.","4","COPA-premise","COPA-effect","COPA"
"A brown skinny dog is jumping over a tuft of grass on a dirt pathway.","An animal is leaping while outdoors.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A man in a black coat eats a doughnut while other men look out of frame .","The doughnut is grown .","1","SNLI-dev","AGCI-WK","AGCI"
"A couple of workers on the grass with black tubing laying on the ground .","A person breathes through the tubing .","2","SNLI-train","AGCI-WK","AGCI"
"A woman and man walking down a street in an Asian locale .","The locale is a scene .","5","SNLI-train","AGCI-WK","AGCI"
"I tossed the ball upwards.","The ball rolled across the ground.","2","COPA-premise","COPA-effect","COPA"
"A man in a black hat and light blue T-shirt is emptying a white bin with a Target bag and several bags of donations to a Community Food Bank are piled behind him .","The bag levels out .","2","SNLI-train","AGCI-WK","AGCI"
"Janet drove hesitantly to the teacher 's conference","The conference is under way .","3","ROCStories","AGCI-WK","AGCI"
"A man is selling jewelry and other trinkets on a blanket he has laid out on the street .","The trinkets are a pink sticker from a campaign .","2","SNLI-train","AGCI-WK","AGCI"
"A red biplane in the sky, with a trail of smoke.","the vehicle is in the air .","5","SNLI-train","AGCI-NN","AGCI"
"a child in a orange shirt standing on mulch .","The mulch creates condition favorable for disease development .","3","SNLI-train","AGCI-WK","AGCI"
"A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.","A man in a garage changing oil in a car.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"A guy surfing the web eating pizza .","The web is a system .","3","SNLI-train","AGCI-WK","AGCI"
"A man in an orange jumpsuit rests a hand on a very large reel of thick rope.","a mountain view","0","SNLI-train","SNLI-CONTRADICTION","SNLI"
"A girl and a guy biking down a long strip of road with people jogging in the distance .","A person uses the strip .","4","SNLI-dev","AGCI-WK","AGCI"
"A short woman wearing a pink backpack over her front walks past a very tall man in a black jacket at the Gubbngen metro station in Stockholm , Sweden .","The station is a position .","1","SNLI-train","AGCI-WK","AGCI"
"A man is crouched behind some cover while playing paintball .","A gunplay consists of the paintball .","2","SNLI-train","AGCI-WK","AGCI"
"A child is dressed up in costume and holding a trident .","The trident is the symbol of a person .","1","SNLI-train","AGCI-WK","AGCI"
"A rugby player passes off the ball when approaching a defender .","The defender declines to comment .","2","SNLI-train","AGCI-WK","AGCI"
"A woman sitting down working with what looks like a kite .","The kite is a check .","1","SNLI-dev","AGCI-WK","AGCI"
"Three men with blue jerseys try to score a goal in soccer against the other team in white jerseys and their goalie in green .","The goalie stops a shot .","4","SNLI-dev","AGCI-WK","AGCI"
"A man and two women are seated outside on a wall next to a sheet of water with a tall white structure in the background .","The structure is a cognition .","2","SNLI-train","AGCI-WK","AGCI"
"Nadia loved to watch ice skating on tv","Her mother signed her up for lessons.","4","ROCStories-1st","ROCStories-3rd","ROC"
"A man and child working on a puzzle .","The puzzle is a game .","5","SNLI-dev","AGCI-WK","AGCI"
"A whole town participates in a war reenactment in the streets .","The reenactment is an acting .","5","SNLI-train","AGCI-WK","AGCI"
"An American wrestler in a purple singlet wrestlers an opponent .","The singlet is an undergarment .","3","SNLI-test","AGCI-WK","AGCI"
"Two men playing instruments on the street to entertain passer byes.","The men played instruments on the street for tips.","5","SNLI-train","SNLI-NEUTRAL","SNLI"
"A man in a white sweatshirt looks across a barrier to a kitchen , particularly a pan filled with vegetables .","A person fries up in the pan .","2","SNLI-train","AGCI-WK","AGCI"
"Last Monday I handed in my resignation papers","The papers are a product .","4","ROCStories","AGCI-WK","AGCI"
"A van is painted in bright colored lettering advertising floats , boogie boards , umbrellas , chairs , and surfboards for rent .","The rent is an annuity in advance .","4","SNLI-train","AGCI-WK","AGCI"
"The man is taking notes at the table .","A person strikes the notes .","2","SNLI-train","AGCI-WK","AGCI"
"A girl drinking a soda while another plays Wii while sitting on couches .","A person is seated on the couches .","5","SNLI-train","AGCI-WK","AGCI"
"Two science students work together on their laboratory assignment .","The assignment is limited .","3","SNLI-train","AGCI-WK","AGCI"
"A band on stage playing a song with a banner in the background that says Screaming Orphans .","The Orphans feel a way .","1","SNLI-dev","AGCI-WK","AGCI"
"One man with glasses , dressed in fatigues is pointing and talking to other men standing next to him .","The fatigues are a temporary state .","1","SNLI-train","AGCI-WK","AGCI"
"Young girl working on homework at fast food restaurant.","a girl is working .","5","SNLI-train","AGCI-NN","AGCI"
"People walking along a river near a beautiful homestead .","The homestead is built at a time .","3","SNLI-train","AGCI-WK","AGCI"
"A man rides a kicking bull in a bullpen .","The bullpen is emptied .","3","SNLI-dev","AGCI-WK","AGCI"
"Workers are taking a break during midday .","The midday is an hour .","4","SNLI-train","AGCI-WK","AGCI"
"A young woman sits in a salon in front of a mirror while another woman braids her brown hair.","the woman is in the mirror","3","SNLI-train","AGCI-NN","AGCI"
"A man in a big hat is standing on a sidewalk .","The hat is a function .","1","SNLI-train","AGCI-WK","AGCI"
"A artist plays the acoustic guitar and sings from her soul .","A person touches the soul .","1","SNLI-train","AGCI-WK","AGCI"
"A man in a white shirt is accepting payment for food from two women .","The payment is a cost .","5","SNLI-train","AGCI-WK","AGCI"
"A man is removing a garter for a lady .","The garter is a band .","5","SNLI-train","AGCI-WK","AGCI"
"Two girls eat sprinkle covered ice creams at a park table outside .","The sprinkle is a shower .","1","SNLI-train","AGCI-WK","AGCI"
"Three women in ethnic clothing digging next to a dirt road .","A person opposes the digging .","3","SNLI-train","AGCI-WK","AGCI"
"A mother checking her son for lice .","The lice are an unpleasant person .","1","SNLI-train","AGCI-WK","AGCI"
"One person holds a giant snowball over two others on the ground in a snowy background .","The snowball is a sand verbena .","2","SNLI-train","AGCI-WK","AGCI"
"My puppy was sniffing around on the ground","A fire begins on the ground .","2","ROCStories","AGCI-WK","AGCI"
"A teenage boy and girl enjoying fondue.","A boy and girl are eating fondue.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Amy and her mother were at her Aunt 's graduation","Amy was crying which distracted her mom.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A shirtless man is resting on a log next to his house .","The house is a building .","5","SNLI-train","AGCI-WK","AGCI"
